_source_file,_file_path,full_text,total_words,total_paragraphs,has_tables,company_mentioned,sections_json,section_count
10_SIPReport.docx,10_SIPReport.docx,"Temasek Polytechnic School of Informatics and IT Diploma in Big Data & Analytics AY 2023/2024 Semester Student Internship Programme Report Student’s Declaration of Originality I hereby declare that the course work(s) submitted by me, is a result of my own effort.  I affirm that there is NO plagiarism and copying, either partially or entirely, from someone else’s design and works, without giving proper credit and acknowledgement to the source(s)/author(s). I am aware that I shall be subjected to ",4840,157,True,"that there is NO plagiarism and copying, either partially or entirely, from someone else’s design an","[{""level"": 2, ""title"": ""Introduction"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""Explain the objectives of the report."", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""Describe the information on the context of the report, such as brief details about the SIP Organisation and your internship role."", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""State the parameters on which the report is based."", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 2, ""title"": ""Work Environment"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""Describe the location and premises of the SIP Organisation"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""Comment on the conduciveness of the environment for work"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""Observations on aspects of workplace safety, facilities and equipment, etc."", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 2, ""title"": ""Organisation structure"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""Provide a brief history of the SIP Organisation"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 2, ""title"": ""Describe the hierarchy of the SIP Organisation"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""State the number of departments in the SIP Organisation and give a brief summary of their roles and number of staff"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""Describe the work culture of the SIP Organisation"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 2, ""title"": ""Nature of business"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""Explain the nature of business of the SIP Organisation, objectives, daily operations, etc."", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""Describe the role and workflow within your department and how it contributes to the objectives of the SIP Organisation"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 2, ""title"": ""Diversity & Inclusivity"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""Based on your interaction with a work colleague who is from a different background/ culture (e.g. education, age, nationality or race), what have you noticed about him/ her that is different (e.g. in terms of values, behaviours, attitudes, communication style, etc.)?"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""How has your perspective changed? What is a new insight you have learnt from this colleague that has changed the way you interact with others?"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 2, ""title"": ""SIP Learning Outcomes"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""Summarise your main SIP Learning Outcomes(Generic, Diploma, Organization)"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""Have you fulfilled these outcomes?"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""What are the challenges that you have encountered during your learning?"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""What are some of the learning gaps? How are you planning to close these gaps?"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""How will these outcomes help you in your career pathway?"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""Any other points to reflect on your learning?"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 2, ""title"": ""Work done"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""Summarise the work done in the internship \u2013 major milestones, projects, events, etc."", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""What are the areas of your strength? How do these strengths get your work done effectively? What are the areas for improvement?"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""What are some of the challenges you have encountered? How do you manage them?"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""What have you learnt from your work?"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""Any other points to reflect on your work done?"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 2, ""title"": ""Networking Insights"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""Describe the networking opportunities during internship"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""How do you network with your colleagues? What have you learnt from them? What opportunities have you gained?"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""What are some of the external networking opportunities that you had? How do these contribute to the overall opportunities and experiences which you have gained?"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""How would you further improve on your networking skills?"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""Any other points to reflect on your networking opportunities and skills?"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 2, ""title"": ""Industry Insights"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""Describe the current developments and trends of the industry"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""How will these developments affect the outlook of the industry?"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""What are the career pathways in the industry? How will these pathways be affected by recent developments?"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""What are the other industry insights shared with you by your mentor?"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""Any other points to reflect on the industry?"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 2, ""title"": ""Diploma specific requirements"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""Describe how your analytics knowledge and skills can be applied to your work area."", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""How will the use of data analytics impact the work at your department?"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""What are some challenges you foresee? (Refer to Learning Outcomes (Diploma-Specific) in the Learning Outcome Form.)"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 2, ""title"": ""Summarise key points from the above sections"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 2, ""title"": ""Overall reflection on your internship"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 2, ""title"": ""Recommendations on"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""What could have been done to enhance or improve your internship experience?"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""What you would do to increase on your awareness and knowledge on the industry and career pathways"", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 3, ""title"": ""How you would better prepare yourself for the world of work."", ""parent"": ""Student\u2019s Declaration of Originality""}, {""level"": 2, ""title"": ""Final Learning Journal"", ""parent"": ""Student\u2019s Declaration of Originality""}]",55
1_SIPReport.docx,1_SIPReport.docx,Temasek Polytechnic and IT Diploma in Big Data And Analytics AY 2021/2022 Sem Student Internship Programme Report  / Overseas Student Internship Programme Report Company Name:  Gadgets Galaxy Pte Ltd Duration of internship: 6 Months (5 July 2021 – 30 January 2022) TABLE OF CONTENTS INTRODUCTION WORK IN THE COMPANY ANALYSIS OF SIP EXPERIENCE CONCLUSION RECOMMENDATIONS APPENDIX A1. A2. A3. ACKNOWLEDGEMENTS INTRODUCTION Gadgets Galaxy Pte Ltd was founded on June 2012 as an online retailer selling f,1622,30,False,Name:  Gadgets Galaxy Pte Ltd Duration of internship: 6 Months (5 July 2021 – 30 January 2022) TABLE,[],0
2_SIPReport.docx,2_SIPReport.docx,"Temasek Polytechnic School of Informatics and IT Diploma in Big Data & Analytics AY 2022/2023 Sem Student Internship Programme Report / Overseas Student Internship Programme Report Introduction CGH is a hospital in the east of Singapore, this place consists of three different buildings, The integrated building, Accident & Emergency building, and the Medical Centre. The office that I am appointed to is located on the 9th floor of the Medical Centre. On the first day, I was brought up to the offic",2617,47,False,Not specified,[],0
3_SIPReport.docx,3_SIPReport.docx,"Temasek Polytechnic School of Informatics and IT Diploma in Big Data & Analytics AY 2022/2023 Sem Student Internship Programme Report  / Overseas Student Internship Programme Report GUIDELINES ON YOUR WRITTEN REPORT Based on the given format below, write a report of about 2500 words / 8-10 pages including the use of tables/diagrams. * Students are required to complete the student SIP subject survey - screenshot the completion of student SIP subject survey and attach in the appendix of the SIP re",4821,221,False,"you worked for the benefits you received the difficulties you may have encountered, It is all right ",[],0
4_SIPReport.docx,4_SIPReport.docx,Temasek Polytechnic and IT Diploma in Big Data & Analytics AY 2022/2023 Sem Student Internship Programme Report  / Overseas Student Internship Programme Report Table of contents Page Introduction ------------------------------------------------------------------------------------------ 3 Work in the company---------------------------------------------------------------------------------- 3 Analysis of the SIP Experience ---------------------------------------------------------------------- 8 Con,2652,89,False,"Chilli Api Catering, which was founded in 2002 and specializes in event catering",[],0
5_SIPReport.docx,5_SIPReport.docx,"Temasek Polytechnic and IT Diploma in Big Data & Analytics AY 2022/2023 Sem Student Internship Programme Report  / Overseas Student Internship Programme Report 1)	INTRODUCTION: a short description of the company Changi General Hospital (CGH) is an academic medical institution with over 1,000 beds serving a community of more than 1 million people in Singapore. With a wide range of medical specialties and services, it is helmed by an experienced and skilled team of healthcare professionals who con",2507,65,False,"Changi General Hospital (CGH) is an academic medical institution with over 1,000 beds serving a comm",[],0
6_SIPReport.docx,6_SIPReport.docx,"Internship Final Submission Introduction & Organisational Awareness Introduction This report aims to present a comprehensive overview of my internship journey at EssilorLuxottica, evaluating how well I met the specified requirements. Initiated by Temasek Polytechnic, my resume found its way to both the Urban Redevelopment Authority (URA) and EssilorLuxottica. Despite a setback with URA, I was fortunate to secure a position at EssilorLuxottica. As outlined in the job description, my primary respo",4674,152,False,Structure EssilorLuxottica was founded from a merger in between the Italian Luxottica with the Frenc,"[{""level"": 2, ""title"": ""Introduction"", ""parent"": ""Introduction & Organisational Awareness""}, {""level"": 2, ""title"": ""Work Environment"", ""parent"": ""Introduction & Organisational Awareness""}, {""level"": 2, ""title"": ""Organisation Structure"", ""parent"": ""Introduction & Organisational Awareness""}, {""level"": 2, ""title"": ""Nature of Business"", ""parent"": ""Introduction & Organisational Awareness""}, {""level"": 2, ""title"": ""Diversity and Inclusivity"", ""parent"": ""Introduction & Organisational Awareness""}, {""level"": 2, ""title"": ""SIP Learning Outcomes"", ""parent"": ""Reflection""}, {""level"": 3, ""title"": ""Generic Life Skills Learning Outcomes"", ""parent"": ""Reflection""}, {""level"": 3, ""title"": ""Diploma Specific Learning Outcomes"", ""parent"": ""Reflection""}, {""level"": 3, ""title"": ""Organisation Specific Learning Outcomes"", ""parent"": ""Reflection""}, {""level"": 3, ""title"": ""Learning Gaps"", ""parent"": ""Reflection""}, {""level"": 3, ""title"": ""Career Pathway"", ""parent"": ""Reflection""}, {""level"": 2, ""title"": ""Work Done"", ""parent"": ""Reflection""}, {""level"": 3, ""title"": ""Project"", ""parent"": ""Reflection""}, {""level"": 3, ""title"": ""Milestones"", ""parent"": ""Reflection""}, {""level"": 2, ""title"": ""Events"", ""parent"": ""Reflection""}, {""level"": 2, ""title"": ""Networking Insights"", ""parent"": ""Reflection""}, {""level"": 3, ""title"": ""Networking opportunities"", ""parent"": ""Reflection""}, {""level"": 3, ""title"": ""The Networking Experience"", ""parent"": ""Reflection""}, {""level"": 3, ""title"": ""Room for Improvement"", ""parent"": ""Reflection""}, {""level"": 2, ""title"": ""Industry Insights"", ""parent"": ""Reflection""}, {""level"": 3, ""title"": ""Industry Developments & Trends"", ""parent"": ""Reflection""}, {""level"": 3, ""title"": ""Career Pathways & Developments"", ""parent"": ""Reflection""}, {""level"": 3, ""title"": ""Personal and Professional Growth"", ""parent"": ""Reflection""}, {""level"": 2, ""title"": ""Diploma Specific Requirements"", ""parent"": ""Reflection""}, {""level"": 3, ""title"": ""Application of Analytics Knowledge and Skills"", ""parent"": ""Reflection""}, {""level"": 3, ""title"": ""The Impact of Data Analytics at my Department"", ""parent"": ""Reflection""}, {""level"": 3, ""title"": ""Foreseen Challenges"", ""parent"": ""Reflection""}, {""level"": 3, ""title"": ""Summary"", ""parent"": ""Reflection""}, {""level"": 3, ""title"": ""Recommendations"", ""parent"": ""Reflection""}, {""level"": 3, ""title"": ""Recommendations to Increase Awareness and Knowledge on the Industry"", ""parent"": ""Reflection""}, {""level"": 3, ""title"": ""Recommendations on My Own Preparation:"", ""parent"": ""Reflection""}]",31
7_SIPReport.docx,7_SIPReport.docx,"Temasek Polytechnic School of Informatics and IT Diploma in Big Data & Analytics AY 2023/2024 Semester Student Internship Programme Report I hereby declare that the course work(s) submitted by me, is a result of my own effort.  I affirm that there is NO plagiarism and copying, either partially or entirely, from someone else’s design and works, without giving proper credit and acknowledgement to the source(s)/author(s). I am aware that I shall be subjected to disciplinary actions deemed appropria",7264,73,True,"that there is NO plagiarism and copying, either partially or entirely, from someone else’s design an","[{""level"": 2, ""title"": ""Objectives"", ""parent"": ""Introduction & Organizational Awareness""}, {""level"": 2, ""title"": ""My role at HSBC"", ""parent"": ""Introduction & Organizational Awareness""}, {""level"": 2, ""title"": ""Work environment"", ""parent"": ""Introduction & Organizational Awareness""}, {""level"": 2, ""title"": ""Organization structure"", ""parent"": ""Introduction & Organizational Awareness""}, {""level"": 2, ""title"": ""Nature of business"", ""parent"": ""Introduction & Organizational Awareness""}, {""level"": 2, ""title"": ""Diversity & Inclusivity"", ""parent"": ""Introduction & Organizational Awareness""}, {""level"": 2, ""title"": ""SIP Learning Outcomes"", ""parent"": ""Reflection""}, {""level"": 2, ""title"": ""Work done"", ""parent"": ""Reflection""}, {""level"": 2, ""title"": ""Networking Insights"", ""parent"": ""Reflection""}, {""level"": 2, ""title"": ""Industry Insights"", ""parent"": ""Reflection""}, {""level"": 2, ""title"": ""Diploma specific requirements"", ""parent"": ""Reflection""}, {""level"": 2, ""title"": ""Conclusions and Recommendations"", ""parent"": ""Reflection""}]",12
8_SIPReport.docx,8_SIPReport.docx,"Temasek Polytechnic School of Informatics and IT Diploma in Big Data & Analytics AY 2023/2024 Semester Student Internship Programme Report Student’s Declaration of Originality I hereby declare that the course work(s) submitted by me, is a result of my own effort.  I affirm that there is NO plagiarism and copying, either partially or entirely, from someone else’s design and works, without giving proper credit and acknowledgement to the source(s)/author(s). I am aware that I shall be subjected to ",6003,181,False,"that there is NO plagiarism and copying, either partially or entirely, from someone else’s design an",[],0
9_SIPReport.docx,9_SIPReport.docx,"Temasek Polytechnic Diploma in Big Data Analytics (BDA - IIT) AY 2021/2022 Sem Student Internship Programme Report Guidelines on YOUR WRITTEN Report Based on the given format below, write a report of about 2500 words / 8-10 pages including the use of tables/diagrams. Table of contents Introduction……...…….3 Work in the company....3 Analysis of SIP……...…6 Conclusion…….…….…7 Recommendations….…7 Acknowledgements…...8 Appendices………....…9 INTRODUCTION Company The company is DB Schenker, a member of th",1614,96,False,"The company is DB Schenker, a member of the Deutsch Bahn group",[],0
